"Title:","US Crude Oil Production from the US Crude Oil Production Database"
"SubTitle:","USA"
"Time:","01/1920 - 08/2022"
"Unit of Measure:","Barrels"
"Citation:","Energy Information Administration (2022-11-01). US Crude Oil Production: US Crude Oil Production, 01/1920 - 08/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  004-002-001 doi:https://doi.org/10.6068/DP1845CAA6BEB23"
"ColumnCount:",2
"RowCount:",1232

"Time","US Crude Oil Production (Barrels)"
"07/1944",141438000
"08/1944",145407000
"09/1944",142985000
"10/1944",146911000
"11/1944",142463000
"12/1944",145322000
"01/1945",147446000
"02/1945",133463000
"03/1945",148935000
"04/1945",144219000
"05/1945",151180000
"06/1945",145783000
"07/1945",151803000
"08/1945",151198000
"09/1945",132690000
"10/1945",132800000
"11/1945",135511000
"12/1945",138627000
"01/1946",143368000
"02/1946",132129000
"03/1946",136835000
"04/1946",140196000
"05/1946",148334000
"06/1946",146890000
"07/1946",152586000
"08/1946",149910000
"09/1946",143708000
"10/1946",148323000
"11/1946",144674000
"12/1946",146471000
"01/1947",144823000
"02/1947",134696000
"03/1947",152178000
"04/1947",149410000
"05/1947",156055000
"06/1947",153058000
"07/1947",159366000
"08/1947",160448000
"09/1947",157665000
"10/1947",165032000
"11/1947",158701000
"12/1947",165555000
"01/1948",164098000
"02/1948",155577000
"03/1948",167868000
"04/1948",164726000
"05/1948",170705000
"06/1948",166448000
"07/1948",171369000
"08/1948",173015000
"09/1948",163244000
"10/1948",174972000
"11/1948",170777000
"12/1948",177386000
"01/1949",167016000
"02/1949",150682000
"03/1949",162399000
"04/1949",150343000
"05/1949",154250000
"06/1949",147283000
"07/1949",145530000
"08/1949",148356000
"09/1949",148286000
"10/1949",155469000
"11/1949",156496000
"12/1949",155830000
"01/1950",152935000
"02/1950",139127000
"03/1950",151301000
"04/1950",149147000
"05/1950",159558000
"06/1950",161305000
"07/1950",170058000
"08/1950",176192000
"09/1950",176698000
"10/1950",183011000
"11/1950",176782000
"12/1950",177460000
"01/1951",183437000
"02/1951",166163000
"03/1951",187774000
"04/1951",183860000
"05/1951",191601000
"06/1951",184064000
"07/1951",190626000
"08/1951",193537000
"09/1951",188016000
"10/1951",198163000
"11/1951",188499000
"12/1951",191971000
"01/1952",192848000
"02/1952",184818000
"03/1952",197121000
"04/1952",192936000
"05/1952",157748000
"06/1952",185692000
"07/1952",188985000
"08/1952",192768000
"09/1952",195603000
"10/1952",201581000
"11/1952",193832000
"12/1952",205904000
"01/1953",203211000
"02/1953",183183000
"03/1953",202024000
"04/1953",191953000
"05/1953",198117000
"06/1953",197630000
"07/1953",204711000
"08/1953",204490000
"09/1953",196571000
"10/1953",193726000
"11/1953",188116000
"12/1953",193350000
"01/1954",193437000
"02/1954",178644000
"03/1954",201763000
"04/1954",198502000
"05/1954",200627000
"06/1954",194974000
"07/1954",194098000
"08/1954",190388000
"09/1954",184325000
"10/1954",189724000
"11/1954",190372000
"12/1954",198134000
"01/1955",209601000
"02/1955",191342000
"03/1955",213453000
"04/1955",206668000
"05/1955",207067000
"06/1955",197844000
"07/1955",205614000
"08/1955",206619000
"09/1955",202037000
"10/1955",211866000
"11/1955",210454000
"12/1955",221863000
"01/1956",223125000
"02/1956",209078000
"03/1956",225645000
"04/1956",214412000
"05/1956",218942000
"06/1956",213010000
"07/1956",219770000
"08/1956",223035000
"09/1956",211585000
"10/1956",215570000
"11/1956",214438000
"12/1956",228673000
"01/1957",231631000
"02/1957",214967000
"03/1957",238490000
"04/1957",226392000
"05/1957",230466000
"06/1957",213302000
"07/1957",212781000
"08/1957",210150000
"09/1957",206777000
"10/1957",212055000
"11/1957",205249000
"12/1957",214641000
"01/1958",213280000
"02/1958",190947000
"03/1958",194580000
"04/1958",189014000
"05/1958",193205000
"06/1958",190172000
"07/1958",203701000
"08/1958",215030000
"09/1958",212642000
"10/1958",215887000
"11/1958",209252000
"12/1958",221277000
"01/1959",223926000
"02/1959",201435000
"03/1959",222839000
"04/1959",217685000
"05/1959",223806000
"06/1959",212489000
"07/1959",210311000
"08/1959",209733000
"09/1959",205700000
"10/1959",214248000
"11/1959",209449000
"12/1959",222969000
"01/1960",224140000
"02/1960",209986000
"03/1960",220977000
"04/1960",211132000
"05/1960",212296000
"06/1960",208161000
"07/1960",212645000
"08/1960",215145000
"09/1960",209119000
"10/1960",215687000
"11/1960",213992000
"12/1960",221653000
"01/1961",223497000
"02/1961",204274000
"03/1961",231596000
"04/1961",219846000
"05/1961",221553000
"06/1961",213084000
"07/1961",215699000
"08/1961",220218000
"09/1961",209848000
"10/1961",220942000
"11/1961",214566000
"12/1961",226635000
"01/1962",227756000
"02/1962",209072000
"03/1962",228661000
"04/1962",221737000
"05/1962",222969000
"06/1962",217712000
"07/1962",224018000
"08/1962",224240000
"09/1962",219589000
"10/1962",228380000
"11/1962",223231000
"12/1962",228824000
"01/1963",226420000
"02/1963",212437000
"03/1963",234289000
"04/1963",228270000
"05/1963",234499000
"06/1963",226853000
"07/1963",235144000
"08/1963",236830000
"09/1963",225207000
"10/1963",233610000
"11/1963",226321000
"12/1963",232843000
"01/1964",236337000
"02/1964",222947000
"03/1964",239068000
"04/1964",232185000
"05/1964",234742000
"06/1964",226808000
"07/1964",231648000
"08/1964",230926000
"09/1964",225965000
"10/1964",236304000
"11/1964",229029000
"12/1964",240863000
"01/1965",240946000
"02/1965",218612000
"03/1965",243763000
"04/1965",236844000
"05/1965",238253000
"06/1965",232440000
"07/1965",237606000
"08/1965",240180000
"09/1965",222529000
"10/1965",244122000
"11/1965",239635000
"12/1965",253584000
"01/1966",249459000
"02/1966",230733000
"03/1966",257107000
"04/1966",248155000
"05/1966",258677000
"06/1966",250391000
"07/1966",255121000
"08/1966",255812000
"09/1966",247632000
"10/1966",258008000
"11/1966",252825000
"12/1966",263843000
"01/1967",265577000
"02/1967",241366000
"03/1967",264854000
"04/1967",254252000
"05/1967",259923000
"06/1967",256174000
"07/1967",283776000
"08/1967",292495000
"09/1967",272845000
"10/1967",278997000
"11/1967",269348000
"12/1967",276135000
"01/1968",279868000
"02/1968",270425000
"03/1968",288882000
"04/1968",273690000
"05/1968",285355000
"06/1968",274320000
"07/1968",283836000
"08/1968",283154000
"09/1968",267960000
